;Light;Temperature;Humidity;Soil_humidity;Plant Type;Time;Waterneed
0;880.0;19.4;55.0;77.0;Sanseveria;Wed Apr 10 09:59:05 2024;4
1;879.0;19.4;55.0;77.0;Sanseveria;Wed Apr 10 09:59:07 2024;4
2;878.0;19.4;55.0;77.0;Sanseveria;Wed Apr 10 09:59:10 2024;4
3;877.0;19.4;55.0;76.0;Sanseveria;Wed Apr 10 09:59:12 2024;4
4;876.0;19.4;55.0;76.0;Sanseveria;Wed Apr 10 09:59:13 2024;4
5;875.0;19.4;55.0;76.0;Sanseveria;Wed Apr 10 09:59:14 2024;4
6;874.0;19.4;55.0;77.0;Sanseveria;Wed Apr 10 09:59:14 2024;4
7;874.0;19.4;55.0;76.0;Sanseveria;Wed Apr 10 09:59:15 2024;4
8;874.0;19.8;55.0;76.0;Sanseveria;Wed Apr 10 09:59:15 2024;4
9;873.0;19.8;55.0;76.0;Sanseveria;Wed Apr 10 09:59:23 2024;4
10;872.0;19.8;55.0;76.0;Sanseveria;Wed Apr 10 09:59:24 2024;4
11;871.0;19.8;55.0;76.0;Sanseveria;Wed Apr 10 09:59:25 2024;4
12;870.0;19.8;55.0;76.0;Sanseveria;Wed Apr 10 09:59:26 2024;4
13;869.0;19.8;55.0;76.0;Sanseveria;Wed Apr 10 09:59:27 2024;4
14;868.0;19.8;55.0;76.0;Sanseveria;Wed Apr 10 09:59:28 2024;4
15;548.0;17.0;44.0;82.0;Sanseveria;Wed Apr 10 10:01:55 2024;3
16;549.0;16.6;44.0;82.0;Sanseveria;Wed Apr 10 10:01:56 2024;3
17;549.0;16.6;43.0;82.0;Sanseveria;Wed Apr 10 10:01:58 2024;3
18;550.0;16.6;43.0;82.0;Sanseveria;Wed Apr 10 10:01:59 2024;3
19;550.0;16.3;43.0;82.0;Sanseveria;Wed Apr 10 10:01:59 2024;3
20;551.0;16.1;43.0;82.0;Sanseveria;Wed Apr 10 10:02:04 2024;3
21;550.0;16.1;43.0;82.0;Sanseveria;Wed Apr 10 10:02:05 2024;3
22;551.0;16.1;42.0;82.0;Sanseveria;Wed Apr 10 10:02:09 2024;3
23;551.0;15.7;43.0;82.0;Sanseveria;Wed Apr 10 10:02:13 2024;3
24;612.0;18.2;57.0;71.0;Sanseveria;Wed Apr 10 10:03:47 2024;3
25;613.0;18.6;57.0;71.0;Sanseveria;Wed Apr 10 10:03:47 2024;3
26;612.0;18.6;57.0;71.0;Sanseveria;Wed Apr 10 10:03:48 2024;3
27;613.0;19.0;57.0;71.0;Sanseveria;Wed Apr 10 10:03:48 2024;3
28;613.0;19.0;58.0;71.0;Sanseveria;Wed Apr 10 10:03:50 2024;3
29;614.0;19.0;58.0;71.0;Sanseveria;Wed Apr 10 10:03:51 2024;3
30;613.0;19.4;58.0;71.0;Sanseveria;Wed Apr 10 10:03:51 2024;3
31;614.0;19.4;58.0;71.0;Sanseveria;Wed Apr 10 10:03:53 2024;3
32;614.0;19.8;58.0;71.0;Sanseveria;Wed Apr 10 10:03:53 2024;3
33;614.0;19.8;58.0;72.0;Sanseveria;Wed Apr 10 10:03:54 2024;3
34;613.0;19.8;58.0;72.0;Sanseveria;Wed Apr 10 10:03:55 2024;3
35;613.0;20.2;58.0;72.0;Sanseveria;Wed Apr 10 10:03:56 2024;3
36;613.0;20.2;59.0;72.0;Sanseveria;Wed Apr 10 10:03:56 2024;3
37;613.0;20.2;59.0;71.0;Sanseveria;Wed Apr 10 10:03:57 2024;3.5
38;614.0;20.2;59.0;71.0;Sanseveria;Wed Apr 10 10:03:57 2024;3.5
39;613.0;20.4;59.0;71.0;Sanseveria;Wed Apr 10 10:03:58 2024;3.5
40;602.0;20.6;59.0;71.0;Sanseveria;Wed Apr 10 10:03:58 2024;3
41;575.0;20.6;59.0;71.0;Sanseveria;Wed Apr 10 10:03:59 2024;3
42;606.0;20.6;59.0;71.0;Sanseveria;Wed Apr 10 10:03:59 2024;3
43;618.0;20.6;59.0;71.0;Sanseveria;Wed Apr 10 10:04:00 2024;3
44;622.0;21.0;58.0;71.0;Sanseveria;Wed Apr 10 10:04:01 2024;3
45;626.0;21.0;58.0;71.0;Sanseveria;Wed Apr 10 10:04:01 2024;3
46;630.0;21.0;58.0;70.0;Sanseveria;Wed Apr 10 10:04:02 2024;3
47;634.0;21.0;58.0;70.0;Sanseveria;Wed Apr 10 10:04:02 2024;3
48;639.0;21.0;58.0;70.0;Sanseveria;Wed Apr 10 10:04:03 2024;3
49;644.0;21.4;58.0;71.0;Sanseveria;Wed Apr 10 10:04:03 2024;3
50;649.0;21.4;58.0;71.0;Sanseveria;Wed Apr 10 10:04:04 2024;3
51;655.0;21.4;58.0;71.0;Sanseveria;Wed Apr 10 10:04:04 2024;3
52;660.0;21.4;58.0;71.0;Sanseveria;Wed Apr 10 10:04:05 2024;3
53;668.0;21.4;58.0;71.0;Sanseveria;Wed Apr 10 10:04:05 2024;3
54;676.0;21.8;58.0;71.0;Sanseveria;Wed Apr 10 10:04:06 2024;3
55;682.0;21.8;58.0;71.0;Sanseveria;Wed Apr 10 10:04:06 2024;3
56;687.0;21.8;58.0;71.0;Sanseveria;Wed Apr 10 10:04:07 2024;3
57;691.0;21.8;58.0;71.0;Sanseveria;Wed Apr 10 10:04:07 2024;3
58;693.0;21.8;58.0;71.0;Sanseveria;Wed Apr 10 10:04:08 2024;3
59;695.0;22.2;58.0;70.0;Sanseveria;Wed Apr 10 10:04:08 2024;3
60;695.0;22.2;58.0;71.0;Sanseveria;Wed Apr 10 10:04:09 2024;3
61;693.0;22.2;58.0;71.0;Sanseveria;Wed Apr 10 10:04:10 2024;3
62;694.0;22.2;58.0;70.0;Sanseveria;Wed Apr 10 10:04:10 2024;3
63;694.0;22.6;58.0;71.0;Sanseveria;Wed Apr 10 10:04:11 2024;3
64;695.0;22.6;58.0;71.0;Sanseveria;Wed Apr 10 10:04:12 2024;3
65;697.0;22.6;58.0;70.0;Sanseveria;Wed Apr 10 10:04:12 2024;3
66;698.0;22.6;58.0;70.0;Sanseveria;Wed Apr 10 10:04:13 2024;3
67;700.0;22.6;58.0;70.0;Sanseveria;Wed Apr 10 10:04:14 2024;3
