Light,Temperature,Humidity,Soil_humidity,Plant Type,Time
880.0,19.4,55.0,77.0,Sanseveria,Wed Apr 10 09:59:04 2024
880.0,19.4,55.0,77.0,Sanseveria,Wed Apr 10 09:59:04 2024
880.0,19.4,55.0,77.0,Sanseveria,Wed Apr 10 09:59:05 2024
880.0,19.4,55.0,77.0,Sanseveria,Wed Apr 10 09:59:05 2024
879.0,19.4,55.0,77.0,Sanseveria,Wed Apr 10 09:59:06 2024
879.0,19.4,55.0,77.0,Sanseveria,Wed Apr 10 09:59:06 2024
879.0,19.4,55.0,77.0,Sanseveria,Wed Apr 10 09:59:07 2024
879.0,19.4,55.0,77.0,Sanseveria,Wed Apr 10 09:59:07 2024
878.0,19.4,55.0,77.0,Sanseveria,Wed Apr 10 09:59:08 2024
878.0,19.4,55.0,77.0,Sanseveria,Wed Apr 10 09:59:08 2024
878.0,19.4,55.0,77.0,Sanseveria,Wed Apr 10 09:59:09 2024
878.0,19.4,55.0,77.0,Sanseveria,Wed Apr 10 09:59:09 2024
878.0,19.4,55.0,77.0,Sanseveria,Wed Apr 10 09:59:10 2024
877.0,19.4,55.0,76.0,Sanseveria,Wed Apr 10 09:59:10 2024
877.0,19.4,55.0,76.0,Sanseveria,Wed Apr 10 09:59:11 2024
877.0,19.4,55.0,76.0,Sanseveria,Wed Apr 10 09:59:11 2024
877.0,19.4,55.0,76.0,Sanseveria,Wed Apr 10 09:59:12 2024
876.0,19.4,55.0,76.0,Sanseveria,Wed Apr 10 09:59:12 2024
876.0,19.4,55.0,76.0,Sanseveria,Wed Apr 10 09:59:13 2024
875.0,19.4,55.0,76.0,Sanseveria,Wed Apr 10 09:59:14 2024
874.0,19.4,55.0,77.0,Sanseveria,Wed Apr 10 09:59:14 2024
874.0,19.4,55.0,76.0,Sanseveria,Wed Apr 10 09:59:15 2024
874.0,19.8,55.0,76.0,Sanseveria,Wed Apr 10 09:59:15 2024
873.0,19.8,55.0,76.0,Sanseveria,Wed Apr 10 09:59:16 2024
873.0,19.8,55.0,76.0,Sanseveria,Wed Apr 10 09:59:16 2024
873.0,19.8,55.0,76.0,Sanseveria,Wed Apr 10 09:59:17 2024
872.0,19.8,55.0,76.0,Sanseveria,Wed Apr 10 09:59:17 2024
872.0,19.8,55.0,76.0,Sanseveria,Wed Apr 10 09:59:18 2024
872.0,19.8,55.0,76.0,Sanseveria,Wed Apr 10 09:59:18 2024
873.0,19.8,55.0,76.0,Sanseveria,Wed Apr 10 09:59:19 2024
873.0,19.8,55.0,76.0,Sanseveria,Wed Apr 10 09:59:19 2024
873.0,19.8,55.0,76.0,Sanseveria,Wed Apr 10 09:59:20 2024
873.0,19.8,55.0,76.0,Sanseveria,Wed Apr 10 09:59:20 2024
873.0,19.8,55.0,76.0,Sanseveria,Wed Apr 10 09:59:21 2024
873.0,19.8,55.0,76.0,Sanseveria,Wed Apr 10 09:59:21 2024
873.0,19.8,55.0,76.0,Sanseveria,Wed Apr 10 09:59:22 2024
873.0,19.8,55.0,76.0,Sanseveria,Wed Apr 10 09:59:22 2024
873.0,19.8,55.0,76.0,Sanseveria,Wed Apr 10 09:59:23 2024
873.0,19.8,55.0,76.0,Sanseveria,Wed Apr 10 09:59:23 2024
872.0,19.8,55.0,76.0,Sanseveria,Wed Apr 10 09:59:24 2024
871.0,19.8,55.0,76.0,Sanseveria,Wed Apr 10 09:59:25 2024
870.0,19.8,55.0,76.0,Sanseveria,Wed Apr 10 09:59:25 2024
870.0,19.8,55.0,76.0,Sanseveria,Wed Apr 10 09:59:26 2024
869.0,19.8,55.0,76.0,Sanseveria,Wed Apr 10 09:59:26 2024
869.0,19.8,55.0,76.0,Sanseveria,Wed Apr 10 09:59:27 2024
869.0,19.8,55.0,76.0,Sanseveria,Wed Apr 10 09:59:27 2024
868.0,19.8,55.0,76.0,Sanseveria,Wed Apr 10 09:59:28 2024
Light,Temperature,Humidity,Soil_humidity,Plant Type,Time
548.0,17.0,44.0,82.0,Sanseveria,Wed Apr 10 10:01:55 2024
549.0,16.6,44.0,82.0,Sanseveria,Wed Apr 10 10:01:56 2024
549.0,16.6,43.0,82.0,Sanseveria,Wed Apr 10 10:01:56 2024
549.0,16.6,43.0,82.0,Sanseveria,Wed Apr 10 10:01:57 2024
549.0,16.6,43.0,82.0,Sanseveria,Wed Apr 10 10:01:57 2024
549.0,16.6,43.0,82.0,Sanseveria,Wed Apr 10 10:01:58 2024
550.0,16.6,43.0,82.0,Sanseveria,Wed Apr 10 10:01:58 2024
550.0,16.6,43.0,82.0,Sanseveria,Wed Apr 10 10:01:59 2024
550.0,16.3,43.0,82.0,Sanseveria,Wed Apr 10 10:01:59 2024
550.0,16.1,43.0,82.0,Sanseveria,Wed Apr 10 10:02:00 2024
550.0,16.1,43.0,82.0,Sanseveria,Wed Apr 10 10:02:01 2024
550.0,16.1,43.0,82.0,Sanseveria,Wed Apr 10 10:02:01 2024
550.0,16.1,43.0,82.0,Sanseveria,Wed Apr 10 10:02:02 2024
550.0,16.1,43.0,82.0,Sanseveria,Wed Apr 10 10:02:02 2024
550.0,16.1,43.0,82.0,Sanseveria,Wed Apr 10 10:02:03 2024
550.0,16.1,43.0,82.0,Sanseveria,Wed Apr 10 10:02:03 2024
551.0,16.1,43.0,82.0,Sanseveria,Wed Apr 10 10:02:04 2024
551.0,16.1,43.0,82.0,Sanseveria,Wed Apr 10 10:02:04 2024
550.0,16.1,43.0,82.0,Sanseveria,Wed Apr 10 10:02:05 2024
551.0,16.1,42.0,82.0,Sanseveria,Wed Apr 10 10:02:05 2024
551.0,16.1,42.0,82.0,Sanseveria,Wed Apr 10 10:02:06 2024
551.0,16.1,42.0,82.0,Sanseveria,Wed Apr 10 10:02:06 2024
551.0,16.1,42.0,82.0,Sanseveria,Wed Apr 10 10:02:07 2024
