Kolom1;Light;Temperature;Humidity;Soil_humidity;Plant Type;Time;Waterneed;Kolom2
3;880.0;19.4;55.0;77.0;Sanseveria;Wed Apr 10 09:59:05 2024;4,00;
7;879.0;19.4;55.0;77.0;Sanseveria;Wed Apr 10 09:59:07 2024;4,00;
12;878.0;19.4;55.0;77.0;Sanseveria;Wed Apr 10 09:59:10 2024;4,00;
16;877.0;19.4;55.0;76.0;Sanseveria;Wed Apr 10 09:59:12 2024;4,00;
18;876.0;19.4;55.0;76.0;Sanseveria;Wed Apr 10 09:59:13 2024;4,00;
19;875.0;19.4;55.0;76.0;Sanseveria;Wed Apr 10 09:59:14 2024;4,00;
20;874.0;19.4;55.0;77.0;Sanseveria;Wed Apr 10 09:59:14 2024;4,00;
21;874.0;19.4;55.0;76.0;Sanseveria;Wed Apr 10 09:59:15 2024;4,00;
22;874.0;19.8;55.0;76.0;Sanseveria;Wed Apr 10 09:59:15 2024;4,00;
38;873.0;19.8;55.0;76.0;Sanseveria;Wed Apr 10 09:59:23 2024;4,00;
39;872.0;19.8;55.0;76.0;Sanseveria;Wed Apr 10 09:59:24 2024;4,00;
40;871.0;19.8;55.0;76.0;Sanseveria;Wed Apr 10 09:59:25 2024;4,00;
42;870.0;19.8;55.0;76.0;Sanseveria;Wed Apr 10 09:59:26 2024;4,00;
45;869.0;19.8;55.0;76.0;Sanseveria;Wed Apr 10 09:59:27 2024;4,00;
46;868.0;19.8;55.0;76.0;Sanseveria;Wed Apr 10 09:59:28 2024;4,00;
47;548.0;17.0;44.0;82.0;Sanseveria;Wed Apr 10 10:01:55 2024;3,00;
48;549.0;16.6;44.0;82.0;Sanseveria;Wed Apr 10 10:01:56 2024;3,00;
52;549.0;16.6;43.0;82.0;Sanseveria;Wed Apr 10 10:01:58 2024;3,00;
54;550.0;16.6;43.0;82.0;Sanseveria;Wed Apr 10 10:01:59 2024;3,00;
55;550.0;16.3;43.0;82.0;Sanseveria;Wed Apr 10 10:01:59 2024;3,00;
64;551.0;16.1;43.0;82.0;Sanseveria;Wed Apr 10 10:02:04 2024;3,00;
65;550.0;16.1;43.0;82.0;Sanseveria;Wed Apr 10 10:02:05 2024;3,00;
73;551.0;16.1;42.0;82.0;Sanseveria;Wed Apr 10 10:02:09 2024;3,00;
80;551.0;15.7;43.0;82.0;Sanseveria;Wed Apr 10 10:02:13 2024;3,00;
81;612.0;18.2;57.0;71.0;Sanseveria;Wed Apr 10 10:03:47 2024;3,00;
82;613.0;18.6;57.0;71.0;Sanseveria;Wed Apr 10 10:03:47 2024;3,00;
83;612.0;18.6;57.0;71.0;Sanseveria;Wed Apr 10 10:03:48 2024;3,00;
84;613.0;19.0;57.0;71.0;Sanseveria;Wed Apr 10 10:03:48 2024;3,00;
87;613.0;19.0;58.0;71.0;Sanseveria;Wed Apr 10 10:03:50 2024;3,00;
88;614.0;19.0;58.0;71.0;Sanseveria;Wed Apr 10 10:03:51 2024;3,00;
89;613.0;19.4;58.0;71.0;Sanseveria;Wed Apr 10 10:03:51 2024;3,00;
92;614.0;19.4;58.0;71.0;Sanseveria;Wed Apr 10 10:03:53 2024;3,00;
93;614.0;19.8;58.0;71.0;Sanseveria;Wed Apr 10 10:03:53 2024;3,00;
94;614.0;19.8;58.0;72.0;Sanseveria;Wed Apr 10 10:03:54 2024;3,00;
97;613.0;19.8;58.0;72.0;Sanseveria;Wed Apr 10 10:03:55 2024;3,00;
